ATTRIBUTION OF EVERY BASE-ONLY ID — F272 round 27 integration gate

Class: ENVIRONMENT (stale copied build artefact), R-0736 mechanism.
Missing/stale artefact, named once because it is the SAME artefact
for all 126 ids: apps/ui/dist/index.html in the base worktree.
shutil.copytree PRESERVES the primary's mtime on it
(1788776043.146 = 2026-09-07T12:14:03), while `git worktree add`
STAMPS all 142 apps/ui/src files at checkout time
(1788791451.55 = 2026-09-07T16:30:51). ui_server._frontend_is_stale()
therefore returns True, _auto_build_frontend('source changed') is
suppressed by REMEDY_UI_NO_AUTO_BUILD=1 and returns None, and
start_ui_server prints 'ERROR: React UI not built.' and never writes
server_info.json. Every listed test waits 50 x 0.1s for that file and
fails 'Server did not start in time'. The base log holds 126 E-lines
and all 126 are that one string.

MEASURED, NOT INFERRED: with ONLY the staleness removed (dist mtimes
touched forward; no rebuild, no code change) the same 126 node ids
were re-run at the SAME base commit in the same worktree:
  python3 -m pytest -n auto -q <the 126 ids>
  real exit code 0 -- 126 passed in 2.78s
=> ZERO genuine base failures. No base-only id is unattributed.

| # | node id | class | named artefact | control re-run |
| 1 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_absent_args_is_valid_and_reaches_the_effect | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 2 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_absent_body_is_400_on_field_body | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 3 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_decision_resolve_naming_an_open_decision_is_answered_and_saved | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 4 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_dispatched_command_is_audited_as_accepted | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 5 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_mistyped_limit_falls_back_to_the_default_and_still_limits | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 6 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_accepted_command_reaches_the_sse_frame_it_announces | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 7 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_audit_writer_that_raises_changes_neither_status_nor_body | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 8 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_near_miss_of_the_commands_path_is_405 | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 9 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_event_writer_that_raises_changes_neither_status_nor_body | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 10 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_exposed_id_with_no_dispatch_branch_is_the_501_guard | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 11 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_fp_approval_answered_approve_is_accepted | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 12 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_fp_approval_answered_reject_is_accepted | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 13 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_fp_approval_answered_with_a_next_action_string_is_409 | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 14 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_fp_approval_answering_an_unknown_question_id_is_409 | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 15 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_fp_approval_on_a_plan_that_is_not_pending_is_409 | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 16 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_fp_approval_whose_answers_are_not_a_map_is_409 | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 17 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_nonce_that_cannot_be_a_filename_is_400_on_its_own_field[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa] | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 18 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_nonce_that_cannot_be_a_filename_is_400_on_its_own_field[../escape] | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 19 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_nonce_that_cannot_be_a_filename_is_400_on_its_own_field[has space] | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 20 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_nonce_that_cannot_be_a_filename_is_400_on_its_own_field[with/slash] | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 21 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_unexposed_command_does_not_spend_budget | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 22 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_unexposed_command_is_audited_as_rejected_command | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 23 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_unknown_path_is_405_for_every_mutating_method | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 24 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_unresolvable_job_is_audited_as_rejected_job | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 25 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_an_unseeded_nonce_is_dispatched_rather_than_replayed | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 26 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_rate_limited_attempt_is_audited_as_rejected_rate | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 27 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_refused_command_announces_nothing | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 28 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_replay_announces_nothing_a_second_time | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 29 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_replayed_nonce_answers_from_the_store_byte_for_byte | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 30 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_replay_is_not_the_acceptance_it_repeats | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 31 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_replay_spends_no_rate_budget | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 32 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_second_job_has_its_own_budget | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 33 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_shape_error_does_not_spend_budget | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 34 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_shape_error_is_audited_as_rejected_shape | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 35 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_wrong_bearer_is_audited_as_rejected_token | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 36 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_wrong_credential_on_a_job_with_no_control_dir_leaves_no_file | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 37 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_a_wrong_csrf_header_is_audited_as_rejected_csrf | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 38 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_bearer_without_a_token_is_403 | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 39 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_command_in_no_catalog_is_400_on_field_command | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 40 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_csrf_is_checked_after_the_bearer | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 41 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_delete_is_405_even_on_the_commands_path | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
| 42 | tests/ui_server/test_command_channel.py::TestCommandChannelDoor::test_empty_client_nonce_is_400_on_field_client_nonce | environment | stale apps/ui/dist/index.html vs worktree-stamped apps/ui/src | passed |
